Start,End,Open,High,Low,Close,Volume,Market Cap
2024-12-15,2024-12-16,96660.44349615178,99939.99085574943,96506.13426807894,99654.2330259849,70518153834.86342,1933296870917.38
2024-12-14,2024-12-15,96587.09898651222,97718.69999237978,95925.09334755772,96551.85552084126,86322170779.80159,1913768711917.6348
2024-12-13,2024-12-14,95317.38169625847,96984.30236988493,94581.38382991694,96558.52320353576,104651006848.23119,1894485542119.0544
2024-12-12,2024-12-13,96264.19263887829,97631.067591252,94702.26891716832,95291.66349157966,113403107242.05592,1899554588709.5784
2024-12-11,2024-12-12,92124.54278747237,96990.97005257943,91230.29223500723,96275.62295206888,131250701612.53043,1863053365933.561
2024-12-10,2024-12-11,92445.07734511924,93469.50011430313,89890.93576163986,92040.70144021945,158474656771.62088,1825905272274.866
2024-12-09,2024-12-10,96174.65518555208,96174.65518555208,90440.42901775507,92797.40722395793,101474120919.38483,1856730698749.177
2024-12-08,2024-12-09,95164.95846986206,96409.92913205821,94151.4516497752,96409.92913205821,63750434590.633484,1881353233033.4355
2024-12-07,2024-12-08,95081.51718357083,95660.29109197592,94353.35860702582,94966.84256648632,107940673740.01704,1879184191849.2407
2024-12-06,2024-12-07,91995.0087632401,97025.26099215118,91938.27630877084,95060.65686199801,179087758365.19742,1864140577401.3513
2024-12-05,2024-12-06,93842.80461784652,98571.21085117731,89453.65008001219,92408.29078716756,176049920744.20328,1905678705660.939
2024-12-04,2024-12-05,91350.35814981328,94276.34687190429,90313.42871294673,94043.84477634687,100285190562.01628,1817823786731.1418
2024-12-03,2024-12-04,91286.33887068505,91669.30198887449,89174.00746780461,91414.81559094718,101411249471.96864,1800427514818.4717
2024-12-02,2024-12-03,92570.27737560008,93396.30800883942,90133.14409814829,91259.23950316239,81243625885.43773,1810848705741.5151
2024-12-01,2024-12-02,91924.36942772231,93126.22875866797,91229.38733521297,92620.11354111102,51061945869.54149,1825919145907.8582
2024-11-30,2024-12-01,92697.48723615026,92709.28903451953,91573.45881277145,91857.81642917014,72093771884.7916,1822647193862.7678
2024-11-29,2024-11-30,91087.44189590795,93885.37300922044,90901.48975081916,92760.51588813533,70049438250.94568,1824445872064.8818
2024-11-28,2024-11-29,91299.64566029109,91975.93919073381,90192.79128248114,91092.00449592317,87029988880.82762,1798053045194.9338
2024-11-27,2024-11-28,87467.14737483805,92593.37613350604,87449.5161167416,91347.11956107596,100963775778.20055,1775985671068.012
2024-11-26,2024-11-27,88645.89842261677,90409.38619218166,86546.54995046863,87625.94300083822,124109847986.22041,1755446604285.0464
2024-11-25,2024-11-26,93096.13845919378,94058.75180979958,88486.03596738548,88660.81498133048,78076428408.1417,1823679368959.076
2024-11-24,2024-11-25,93055.64657471613,93838.26106835327,91213.88973557875,93221.30991389164,57067894715.38519,1836204238635.3147
2024-11-23,2024-11-24,94098.47214813685,94180.95138306788,92577.9071096548,92993.23706469557,79214144063.57191,1852162863595.0032
2024-11-22,2024-11-23,93644.1552998552,94774.93713327745,92635.0682008687,94158.62417130229,114984896713.60905,1859562218866.4917
2024-11-21,2024-11-22,89792.16833041224,94099.93903832964,89644.0505219843,93753.2671645203,118172097437.86797,1829679424008.9097
2024-11-20,2024-11-21,87834.37476186846,90318.48662653356,87161.84370951763,89703.86916101501,99332527487.96498,1758153108028.9983
2024-11-19,2024-11-20,86114.13167720794,89382.13442048311,86114.13167720794,87746.19942086413,98964679541.0072,1732203518951.22
2024-11-18,2024-11-19,85520.20307856434,88139.14501257334,85206.4219309609,86250.60961670348,74541983134.73882,1713828502251.3535
2024-11-17,2024-11-18,86339.1945439305,87106.59719576316,84554.46544235312,85502.1622342452,56218365560.85798,1702522198713.4756
2024-11-16,2024-11-17,86808.8375371485,87380.89613655413,85852.6537377124,86245.20879372094,83286224512.11081,1715838684741.8826
2024-11-15,2024-11-16,83519.30770403109,87386.38268688561,83003.7434275699,86632.19157204907,110115029906.21301,1679902398740.0168
2024-11-14,2024-11-15,85940.90528080468,87287.15804313037,82811.5236607483,83200.72582488759,145875891815.69327,1689695377269.6638
2024-11-13,2024-11-14,83959.47001447839,88817.26739312656,82111.91229139677,86013.12580964719,153278602466.74387,1675505566055.637
2024-11-12,2024-11-13,84026.12779090146,85537.06279052045,81132.33445096394,83979.2444562981,191429900918.1422,1656055000882.8323
2024-11-11,2024-11-12,76665.88242017831,85179.08443191343,76565.92433132668,84420.46407071552,110121012955.09506,1564994196460.9207
2024-11-10,2024-11-11,72906.31905814218,77376.8193248495,72906.31905814218,76592.5950621047,68209634592.08053,1489588531695.2761
2024-11-09,2024-11-10,72796.63567781757,73243.49424674235,72237.67431227615,72978.73009220453,54571335875.54804,1438220519286.32
2024-11-08,2024-11-09,72323.35403490055,73454.61213137239,72047.2071934771,72910.90070867942,70967717540.28023,1433479976175.4968
2024-11-07,2024-11-08,72008.1250476263,73108.2450659148,70900.29909319515,72315.12420940332,98571703917.44777,1418930153787.3333
2024-11-06,2024-11-07,66221.46231806751,72485.28347176712,66142.82176331631,71980.08267926541,130735027696.64453,1395555708690.181
2024-11-05,2024-11-06,64632.486855139825,67091.83304122533,64278.318600929655,66056.2942924636,56519627006.81982,1298989797018.0222
2024-11-04,2024-11-05,65410.61495084964,66054.14158347937,63769.73634077574,64574.52564200258,46637685243.94027,1289182931609.7346
2024-11-03,2024-11-04,66025.29909319515,66080.2026975539,64384.78244303894,65565.09563362035,34475834283.2032,1289695497037.9756
2024-11-02,2024-11-03,66303.43671416596,66577.79280652289,65806.24666615865,66029.07109654804,47937425750.76978,1309027798265.297
2024-11-01,2024-11-02,67007.25824887601,68125.2286062638,65596.69092433131,66231.00662958165,61690016577.35932,1313025093365.297
2024-10-31,2024-11-01,68932.45637430465,69177.38893545682,66475.69153394802,67000.69534405241,51297730929.82345,1346867774490.6604
2024-10-30,2024-10-31,69229.57784043282,69406.70006858186,68116.1224567553,68924.65518555208,67753558021.62719,1359937052881.179
2024-10-29,2024-10-30,66551.11255048389,70043.9114531738,66474.76758363178,69327.5356244761,65975847937.130486,1348115185303.7568
2024-10-28,2024-10-29,64803.22715842414,66801.41735883564,64439.438390611904,66574.3827630877,35352883405.3193,1292728429124.667
2024-10-27,2024-10-28,63897.96540425207,65057.90406157128,63683.09456679112,64799.72186237902,23214747060.497818,1269796770927.8445
2024-10-26,2024-10-27,63487.7409891031,64165.21565190886,63383.02026975538,63916.415834793865,53000888184.00335,1261552218021.5847
2024-10-25,2024-10-26,64994.370570753636,65420.330717061646,62629.51497371028,63474.24369427722,45036324705.28776,1273432699982.247
2024-10-24,2024-10-25,63485.83593690467,65442.81985826411,63390.6404785491,64994.71348014935,47744105862.09785,1271476601466.9697
2024-10-23,2024-10-24,64205.32652594681,64205.32652594681,62171.349919987806,63576.868856206645,44090218046.74201,1254193463904.3684
2024-10-22,2024-10-23,64187.15232797379,64563.92402651831,63531.58576544997,64194.5344052427,52500161337.984535,1267889316466.7932
2024-10-21,2024-10-22,65721.94810637811,66118.72285300617,63691.59109959612,64238.39823211155,43435835031.580055,1283489169296.0544
2024-10-20,2024-10-21,65147.012878152855,66025.16573954126,64880.39129772155,65712.64192638877,20385460963.51234,1288943902812.3083
2024-10-19,2024-10-20,65221.062257105834,65381.38192486474,64811.81894383905,65147.10813076277,37962577602.23824,1285708697676.9812
2024-10-18,2024-10-19,64200.12573344509,65690.00038101044,64004.09586222662,65214.975615331845,51701302785.26597,1282728435164.9202
2024-10-17,2024-10-18,64487.10279661662,64699.31608626075,63632.182046788075,64165.65381391449,48987433378.997055,1266394229563.7349
2024-10-16,2024-10-17,63862.23615027052,65033.01455459878,63622.39007848815,64445.467880819924,81010301740.89577,1270797656174.4067
2024-10-15,2024-10-16,62954.05966623485,64543.15895755544,61904.64261220757,63804.04633086945,111221905124.24191,1244306532163.0093
2024-10-14,2024-10-15,59844.97637735274,63266.65968147526,59517.78366227234,62948.61121694734,95144316858.57689,1220068997668.9028
2024-10-13,2024-10-14,60275.765830983764,60275.765830983764,59109.940562371405,59824.67804617846,75522565695.98726,1181081439860.9172
2024-10-12,2024-10-13,59605.073154004414,60428.674845690766,59532.871675683906,60214.927989026895,90528514719.87367,1184722933933.1611
2024-10-11,2024-10-12,57428.084279509254,60266.88828773907,57259.39190733825,59447.73489293606,92901128505.68436,1158194614035.3857
2024-10-10,2024-10-11,57726.796464223116,58389.86893240874,56215.232797378645,57399.241789225016,88984866401.07228,1140367450721.0522
2024-10-09,2024-10-10,59180.49417054027,59561.85704488302,57570.55360816886,57768.7933399375,88672700331.66826,1164635056252.086
2024-10-08,2024-10-09,59360.89308847062,60133.01074449439,58972.8053798674,59262.33521298483,102149038079.0031,1175215145596.3289
2024-10-07,2024-10-08,59862.44570601234,61377.009830069335,59260.43968604739,59343.090375676285,91533272161.69127,1193302790969.8435
2024-10-06,2024-10-07,59056.67530290329,59928.198582641155,58904.13777337498,59840.956717214045,70136518043.1609,1172248473122.9128
2024-10-05,2024-10-06,59245.2659452869,59372.237674312266,58793.139907033445,59136.63034367141,86016748689.17805,1168140335754.7598
2024-10-04,2024-10-05,57902.50895374533,59480.80659910081,57617.00830602758,59161.41507277299,102091770400.56676,1158833438510.066
2024-10-03,2024-10-04,57672.11194086717,58546.102263202,57225.85346338489,57890.73573115903,109601030947.41696,1144336377408.9219
2024-10-02,2024-10-03,57928.83677512763,59273.08923264497,57157.262058980414,57789.787015164206,114853496627.14159,1153580907894.6326
2024-10-01,2024-10-02,60336.81322868246,61081.66006248571,57528.72818715232,57997.4472300541,104128384232.46375,1183395388359.2083
2024-09-30,2024-10-01,62428.56054255886,62441.91495846986,60030.118875257176,60285.37681932485,91740071648.76425,1205303949405.0593
2024-09-29,2024-09-30,62733.94040996723,62916.253905357,62331.402880438916,62550.7220147832,74260159755.0355,1236993235006.6582
2024-09-28,2024-09-29,62692.28644364855,63047.89301226853,62330.17412177093,62794.32103939648,88802973924.81042,1237610615599.241
2024-09-27,2024-09-28,62017.03116665396,63229.62546673779,61771.32705936142,62640.46902385125,108865962328.66809,1234865525927.05
2024-09-26,2024-09-27,60143.09799588508,62500.99062714317,59811.06644822068,62049.53135715918,98799044898.33327,1209724372930.4592
2024-09-25,2024-09-26,61159.814828926304,61599.81520993674,59968.44281033299,60166.892097843476,98841601239.04727,1199924553261.0112
2024-09-24,2024-09-25,60339.38504915034,61520.92699839975,59772.95587899108,61281.357159186155,98180123051.96796,1195348267002.7732
2024-09-23,2024-09-24,60454.87883868017,61576.01158271736,59858.66417739845,60326.04015850034,102741629624.15244,1195442778349.7356
2024-09-22,2024-09-23,60352.044121008905,60836.003581498124,59510.05867560771,60557.77070791739,80813982125.32004,1184755620199.6135
2024-09-21,2024-09-22,60116.68444715385,60503.89583174579,59841.48060656861,60380.553227158416,89586088720.22908,1187339924798.6184
2024-09-20,2024-09-21,59948.068277070786,61013.068658081225,59437.66669206736,60106.33048845538,110430179474.77843,1189485693366.7542
2024-09-19,2024-09-20,58896.55566562523,60790.13944982092,58667.98750285757,59965.30899946658,121004580273.9611,1178984125422.0088
2024-09-18,2024-09-19,57450.64009753867,58531.9096243237,56404.79501638345,58531.9096243237,104819773306.85664,1131765123333.9456
2024-09-17,2024-09-18,55501.73359750057,58351.73931265716,54884.55383677512,57440.657624018895,96842153695.15076,1116963963351.1501
2024-09-16,2024-09-17,56381.886763697315,56381.886763697315,54817.66745408824,55464.83273641697,90207100010.06291,1097551162073.4673
2024-09-15,2024-09-16,57151.546902385126,57509.37285681627,56061.828469100044,56387.744799207496,74134744693.65964,1128722349854.4956
2024-09-14,2024-09-15,57685.01866951154,57713.65160405394,56704.678808199336,57140.06896288958,95711779622.67221,1129263949908.5542
2024-09-13,2024-09-14,55393.17419797302,57717.28072849196,54950.106682923106,57699.71614722243,96605764685.86816,1104316814826.6296
2024-09-12,2024-09-13,54648.31783890878,55736.63605882801,54648.31783890878,55357.05440829079,106731663058.35619,1091759289932.3965
2024-09-11,2024-09-12,54865.512840051815,55208.96517564581,52949.96380400822,54640.726205898034,103082877971.35371,1070774162213.399
2024-09-10,2024-09-11,54259.715766211986,55232.04488302979,53805.89423150194,54892.16452030785,98780547249.80159,1074563355303.632
2024-09-09,2024-09-10,52176.531661967536,55122.67583631791,52031.69054332088,54324.44943991465,91179509949.05154,1047690293878.4589
2024-09-08,2024-09-09,51547.054789301226,52606.55909471919,51145.15545225939,52221.25276232568,74271598918.50452,1022897000673.8972
2024-09-07,2024-09-08,51413.5868322792,52207.98407376361,51214.737483807054,51615.78907262059,115680386551.94446,1020290089712.6483
2024-09-06,2024-09-07,53540.701440219455,54195.210698773146,50234.321420406915,51362.76003962508,115053011372.25887,1040155502277.2642
2024-09-05,2024-09-06,55252.76232568772,55517.96464223119,53184.29474967613,53503.42909395717,110316190096.71225,1068666781834.9556
2024-09-04,2024-09-05,54907.44303893926,55713.213442048305,53091.81399070334,55231.32096319439,113554932300.61137,1075476384967.3392
2024-09-03,2024-09-04,56299.921892859864,56926.769793492334,54812.17137849577,54812.17137849577,105577946380.81235,1102562100935.052
