Date,DVOL
2024-12-28,60.5
2024-12-27,62.27
2024-12-26,59.55
2024-12-25,60.39
2024-12-24,61.2
2024-12-23,60.77
2024-12-22,58.41
2024-12-21,59.97
2024-12-20,60.34
2024-12-19,60.48
2024-12-18,59.66
2024-12-17,58.07
2024-12-16,60.36
2024-12-15,59.26
2024-12-14,58.26
2024-12-13,59.3
2024-12-12,59.5
2024-12-11,60.96
2024-12-10,59.34
2024-12-09,59.44
2024-12-08,57.35
2024-12-07,57.59
2024-12-06,57.64
2024-12-05,59.66
2024-12-04,56.47
2024-12-03,56.57
2024-12-02,57.92
2024-12-01,56.37
2024-11-30,56.53
2024-11-29,58.01
2024-11-28,59.88
2024-11-27,59.8643
2024-11-26,61.44
2024-11-25,61.4
2024-11-24,61.64
2024-11-23,61.12
2024-11-22,63.92
2024-11-21,60.61
2024-11-20,58.45
2024-11-19,60.04
2024-11-18,59.15
2024-11-17,55.83
2024-11-16,56.14
2024-11-15,59.86
2024-11-14,59.12
2024-11-13,56.97
2024-11-12,61.8
2024-11-11,51.63
2024-11-10,52.54
2024-11-09,49.91
2024-11-08,52.4
2024-11-07,54.7
2024-11-06,56.1
2024-11-05,63.31
2024-11-04,62.47
2024-11-03,61.07
2024-11-02,60.13
2024-11-01,58.23
2024-10-31,59.85
2024-10-30,58.7259
2024-10-29,57.25
2024-10-28,56.46
2024-10-27,55.35
2024-10-26,56.82
2024-10-25,55.98
2024-10-24,55.52
2024-10-23,55.73
2024-10-22,55.24
2024-10-21,55.81
2024-10-20,54.91
2024-10-19,55.08
2024-10-18,55.62
2024-10-17,56.06
2024-10-16,57.42
2024-10-15,56.78
2024-10-14,57.9
2024-10-13,56.65
2024-10-12,56.75
2024-10-11,55.38
2024-10-10,56.22
2024-10-09,56.34
2024-10-08,55.92
2024-10-07,57.01
2024-10-06,55.1
2024-10-05,54.95
2024-10-04,57.65
2024-10-03,56.96
2024-10-02,57.0
2024-10-01,55.41
2024-09-30,53.9
2024-09-29,52.92
2024-09-28,52.39
2024-09-27,52.44
2024-09-26,50.2
2024-09-25,50.9053
2024-09-24,51.16
2024-09-23,51.23
2024-09-22,51.09
2024-09-21,50.44
2024-09-20,52.31
2024-09-19,50.82
2024-09-18,53.06
2024-09-17,53.91
2024-09-16,52.96
2024-09-15,53.39
2024-09-14,52.4
2024-09-13,53.96
2024-09-12,55.19
2024-09-11,55.0
2024-09-10,57.29
2024-09-09,58.15
2024-09-08,58.04
2024-09-07,58.07
2024-09-06,58.31
2024-09-05,55.86
2024-09-04,56.09
2024-09-03,53.05
2024-09-02,54.24
2024-09-01,51.03
2024-08-31,50.38
2024-08-30,52.52
2024-08-29,51.8
2024-08-28,51.5026
2024-08-27,49.33
2024-08-26,50.81
2024-08-25,55.08
2024-08-24,54.41
2024-08-23,52.74
2024-08-22,55.25
2024-08-21,54.67
2024-08-20,53.79
2024-08-19,54.48
2024-08-18,54.6
2024-08-17,53.09
2024-08-16,53.89
2024-08-15,55.46
2024-08-14,55.67
2024-08-13,56.88
2024-08-12,58.24
2024-08-11,56.14
2024-08-10,55.34
2024-08-09,54.8
2024-08-08,60.69
2024-08-07,58.59
2024-08-06,59.5
2024-08-05,66.82
2024-08-04,53.73
2024-08-03,50.06
2024-08-02,48.04
2024-08-01,48.19
2024-07-31,50.1308
2024-07-30,49.64
2024-07-29,56.15
2024-07-28,53.25
2024-07-27,59.39
2024-07-26,62.32
2024-07-25,60.35
2024-07-24,62.34
2024-07-23,67.69
2024-07-22,63.94
2024-07-21,62.24
2024-07-20,59.59
2024-07-19,56.28
2024-07-18,56.71
2024-07-17,61.77
2024-07-16,54.64
2024-07-15,50.23
2024-07-14,50.15
2024-07-13,45.89
2024-07-12,47.31
